Name,Speed,Modules,Color,First Word Latency,CAS Latency,Price
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$369.99
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$379.99
Corsair Vengeance LPX 32 GB,DDR4-3200,2 x 16GB,Black / Yellow,10 ns,16,$219.99
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,Black / Yellow,10 ns,16,$159.99
Silicon Power GAMING 16 GB,DDR4-3200,2 x 8GB,Black / Gray,10 ns,16,$122.97
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$420.00
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,White / Silver,12 ns,36,$369.99
Patriot Viper Elite 5 16 GB,DDR5-6000,1 x 16GB,White,10 ns,30,$199.99
Corsair Vengeance RGB 64 GB,DDR5-6000,2 x 32GB,Black,10 ns,30,$1110.99
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,Black,11.875 ns,38,$359.99
Crucial Pro Overclocking 32 GB,DDR5-6400,2 x 16GB,Black,10 ns,32,$369.99
Kingston FURY Beast 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$495.60
G.Skill Ripjaws V 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,$154.99
Kingston FURY Beast 16 GB,DDR5-5200,2 x 8GB,Black,15.385 ns,40,$245.00
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$379.99
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$494.99
Kingston FURY Beast 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,$209.42
Corsair Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,Black / Silver,10 ns,30,$779.99
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$439.99
TEAMGROUP T-Force Delta RGB 16 GB,DDR5-6000,2 x 8GB,White,12.667 ns,38,$209.99
Crucial Pro 64 GB,DDR5-6000,2 x 32GB,Black,13.333 ns,40,$629.99
Patriot Viper Venom 32 GB,DDR5-6000,2 x 16GB,Black / White,10 ns,30,$389.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,Black / Gray,10 ns,30,$539.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3600,2 x 16GB,Black,10 ns,18,
Crucial Pro 32 GB,DDR4-3200,2 x 16GB,Black,13.75 ns,22,$229.99
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$515.00
Crucial Pro 32 GB,DDR5-5600,2 x 16GB,Black,16.429 ns,46,$429.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,Black,10 ns,16,$279.99
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,$149.99
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,White,10 ns,30,$509.99
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$509.99
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,$142.99
Corsair Vengeance 128 GB,DDR5-6400,2 x 64GB,Black,13.125 ns,42,$1598.99
Crucial Classic 16 GB,DDR5-5600,2 x 8GB,Black,16.429 ns,46,$269.00
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,White,12 ns,36,$399.99
Corsair Vengeance LPX 32 GB,DDR4-3600,2 x 16GB,Black / Yellow,10 ns,18,
TEAMGROUP T-Force Delta RGB 16 GB,DDR5-6000,2 x 8GB,Black,12.667 ns,38,$249.99
Silicon Power Value Gaming 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$379.97
G.Skill Ripjaws V 32 GB,DDR4-3200,2 x 16GB,Black,10 ns,16,$259.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$419.99
Patriot Viper Venom 16 GB,DDR5-6000,1 x 16GB,Black / White,10 ns,30,$199.99
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,White,11.875 ns,38,$392.36
G.Skill Trident Z RGB 16 GB,DDR4-3200,2 x 8GB,Black,10 ns,16,$174.99
G.Skill Flare X5 64 GB,DDR5-6000,2 x 32GB,Black,10 ns,30,$749.99
Corsair Vengeance RGB 32 GB,DDR5-6400,2 x 16GB,Black,11.25 ns,36,$379.99
G.Skill Ripjaws S5 32 GB,DDR5-6000,2 x 16GB,Black,12 ns,36,$420.00
Kingston FURY Beast RGB 16 GB,DDR5-6000,2 x 8GB,Black,12 ns,36,$274.99
G.Skill Trident Z5 Royal Neo RGB 32 GB,DDR5-6000,2 x 16GB,Silver,9.333 ns,28,$569.99
Crucial CT8G4DFS824A 8 GB,DDR4-2400,1 x 8GB,Green,14.167 ns,17,$64.00
Klevv FIT V 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,
Corsair Vengeance 32 GB,DDR5-6200,2 x 16GB,Black,11.613 ns,36,
Corsair Vengeance LPX 8 GB,DDR4-2400,1 x 8GB,Black / Yellow,13.333 ns,16,$81.98
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,Gray,10 ns,30,$509.99
Kingston FURY Beast 32 GB,DDR4-3200,2 x 16GB,Black,10 ns,16,$298.77
Klevv BOLT X 16 GB,DDR4-3600,2 x 8GB,Black,10 ns,18,
Corsair Dominator Titanium 64 GB,DDR5-6600,2 x 32GB,White,9.697 ns,32,
G.Skill Trident Z RGB 32 GB,DDR4-3600,2 x 16GB,Black,10 ns,18,$319.99
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$509.99
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,Gray,10 ns,16,$119.99
TEAMGROUP T-Force Vulcan 32 GB,DDR5-6000,2 x 16GB,Black,10 ns,30,$529.99
Crucial Pro 64 GB,DDR4-3200,2 x 32GB,Black / Green,13.75 ns,22,$449.99
ADATA XPG SPECTRIX D50 16 GB,DDR4-3200,2 x 8GB,White,10 ns,16,
Patriot Viper Venom 64 GB,DDR5-6400,2 x 32GB,Black / White,10 ns,32,$799.99
G.Skill Ripjaws V 16 GB,DDR4-3600,2 x 8GB,Black,8.889 ns,16,$169.99
